,retweet_count_1,retweet_count_2,retweet_count_3,retweet_count_4,retweet_count_5,retweet_count_6,retweet_count_7,retweet_count_8,retweet_count_9,retweet_count_10,favorite_count_1,favorite_count_2,favorite_count_3,favorite_count_4,favorite_count_5,favorite_count_6,favorite_count_7,favorite_count_8,favorite_count_9,favorite_count_10,hashtag_count_1,hashtag_count_2,hashtag_count_3,hashtag_count_4,hashtag_count_5,hashtag_count_6,hashtag_count_7,hashtag_count_8,hashtag_count_9,hashtag_count_10,mention_count_1,mention_count_2,mention_count_3,mention_count_4,mention_count_5,mention_count_6,mention_count_7,mention_count_8,mention_count_9,mention_count_10,word_count_1,word_count_2,word_count_3,word_count_4,word_count_5,word_count_6,word_count_7,word_count_8,word_count_9,word_count_10,word_density_1,word_density_2,word_density_3,word_density_4,word_density_5,word_density_6,word_density_7,word_density_8,word_density_9,word_density_10,punctuation_freq_1,punctuation_freq_2,punctuation_freq_3,punctuation_freq_4,punctuation_freq_5,punctuation_freq_6,punctuation_freq_7,punctuation_freq_8,punctuation_freq_9,punctuation_freq_10,upper_case_freq_1,upper_case_freq_2,upper_case_freq_3,upper_case_freq_4,upper_case_freq_5,upper_case_freq_6,upper_case_freq_7,upper_case_freq_8,upper_case_freq_9,upper_case_freq_10,char_count_1,char_count_2,char_count_3,char_count_4,char_count_5,char_count_6,char_count_7,char_count_8,char_count_9,char_count_10,pos_sentiment_1,pos_sentiment_2,pos_sentiment_3,pos_sentiment_4,pos_sentiment_5,pos_sentiment_6,pos_sentiment_7,pos_sentiment_8,pos_sentiment_9,pos_sentiment_10,neu_sentiment_1,neu_sentiment_2,neu_sentiment_3,neu_sentiment_4,neu_sentiment_5,neu_sentiment_6,neu_sentiment_7,neu_sentiment_8,neu_sentiment_9,neu_sentiment_10,neg_sentiment_1,neg_sentiment_2,neg_sentiment_3,neg_sentiment_4,neg_sentiment_5,neg_sentiment_6,neg_sentiment_7,neg_sentiment_8,neg_sentiment_9,neg_sentiment_10,compound_sentiment_1,compound_sentiment_2,compound_sentiment_3,compound_sentiment_4,compound_sentiment_5,compound_sentiment_6,compound_sentiment_7,compound_sentiment_8,compound_sentiment_9,compound_sentiment_10,passed_closing_1,passed_closing_2,passed_closing_3,passed_closing_4,passed_closing_5,passed_closing_6,passed_closing_7,passed_closing_8,passed_closing_9,passed_closing_10,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,GSPC,IXIC,VGT
2016-01-04,1985.357142857143,7542.333333333333,2248.0,2714.5714285714284,6065.0,2062.6666666666665,1539.5,2324.5,1449.3333333333333,4195.0,6015.714285714285,14868.666666666666,5552.666666666667,6723.142857142857,15803.0,6557.0,4566.5,5570.0,3245.0,10315.0,0.6428571428571429,0.0,0.4444444444444444,0.0,0.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,0.7142857142857143,1.0,1.4444444444444444,0.7142857142857143,0.0,0.3333333333333333,1.5,0.5,1.0,0.0,21.214285714285715,26.333333333333332,29.333333333333332,25.428571428571427,25.0,28.666666666666668,26.0,32.0,22.666666666666668,28.5,5.2332728975788445,5.130857648099028,5.001466974850566,4.8659463785514205,5.64,4.858784893267652,5.076923076923076,4.530392156862745,5.012820512820512,4.860837438423646,0.2803409527283465,0.27409372236958446,0.3307765578891105,0.2313869992441421,0.32,0.17405582922824303,0.3076923076923077,0.12549019607843137,0.2852564102564103,0.1231527093596059,0.03271201305088773,0.025383141762452103,0.05269886511821996,0.026449468676359434,0.12,0.04638752052545156,0.0576923076923077,0.07549019607843137,0.012820512820512822,0.05357142857142857,105.85714285714286,135.0,144.22222222222223,123.0,141.0,139.33333333333334,132.0,144.5,114.0,138.5,0.34121428571428575,0.289,0.18188888888888888,0.10914285714285714,0.184,0.20000000000000004,0.1955,0.0,0.5373333333333333,0.0,0.6417857142857143,0.6256666666666667,0.6095555555555555,0.662,0.677,0.5870000000000001,0.7075,0.7945,0.4626666666666666,0.9259999999999999,0.016999999999999998,0.08533333333333333,0.20855555555555555,0.22885714285714284,0.139,0.21266666666666667,0.097,0.2055,0.0,0.07400000000000001,0.5172142857142857,0.30043333333333333,-0.04484444444444445,-0.2505428571428571,0.1862,0.16776666666666665,0.08889999999999998,-0.3712,0.7819333333333334,-0.1909,0.5,0.6666666666666666,0.3333333333333333,0.42857142857142855,1.0,0.6666666666666666,0.0,0.0,1.0,0.5,14.0,3.0,9.0,7.0,1.0,3.0,2.0,2.0,3.0,2.0,3380.800048828125,11326.509765625,315.3299865722656
2016-01-05,1286.0,1159.0,1049.0,1092.0,0.0,1571.0,932.0,0.0,1325.75,0.0,4214.666666666667,3418.0,3225.0,3706.0,0.0,4161.75,3230.0,0.0,4041.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,1.6666666666666667,1.0,5.0,2.0,0.0,1.5,2.0,0.0,2.0,0.0,20.333333333333332,26.0,22.0,19.0,0.0,27.75,12.0,0.0,27.0,0.0,5.446368446368446,5.5,6.681818181818183,5.473684210526316,0.0,4.869756828316611,6.333333333333332,0.0,4.981840924775708,0.0,0.38239538239538245,0.3076923076923077,0.4090909090909091,0.3684210526315789,0.0,0.28445164437012266,0.5,0.0,0.41740280653324136,0.0,0.16570466570466572,0.07692307692307693,0.0,0.05263157894736842,0.0,0.027536231884057974,0.08333333333333333,0.0,0.05178571428571428,0.0,110.66666666666667,143.0,147.0,104.0,0.0,134.5,76.0,0.0,134.0,0.0,0.3913333333333333,0.128,0.0,0.0,0.0,0.2495,0.431,0.0,0.40800000000000003,0.0,0.6086666666666667,0.6659999999999999,1.0,1.0,0.0,0.54775,0.569,0.0,0.592,0.0,0.0,0.207,0.0,0.0,0.0,0.2025,0.0,0.0,0.0,0.0,0.7722333333333333,-0.3453,0.0,0.0,0.0,0.248175,0.4648,0.0,0.7252749999999999,0.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,0.0,0.75,0.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,3363.0,11167.509765625,311.45001220703125
2016-01-06,2096.25,800.0,3134.2,1237.0,2517.0,2341.0,0.0,0.0,724.0,0.0,6393.5,3017.0,6345.4,3726.0,6860.0,5261.0,0.0,0.0,2616.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.6666666666666665,0.0,18.5,30.0,24.4,23.0,26.0,19.0,0.0,0.0,21.0,0.0,4.922247360482654,4.466666666666667,5.290393358876118,4.782608695652174,5.615384615384616,5.57894736842105,0.0,0.0,5.384392014519055,0.0,0.25389328808446454,0.3,0.34791023535851123,0.39130434782608703,0.3076923076923077,0.10526315789473684,0.0,0.0,0.4628755797539827,0.0,0.12816742081447965,0.03333333333333333,0.017407407407407406,0.0,0.0,0.05263157894736842,0.0,0.0,0.03371647509578544,0.0,91.75,134.0,128.6,110.0,146.0,106.0,0.0,0.0,112.0,0.0,0.41925,0.593,0.11080000000000001,0.0,0.0,0.188,0.0,0.0,0.36166666666666664,0.0,0.5325,0.407,0.6626,1.0,0.556,0.456,0.0,0.0,0.5873333333333334,0.0,0.04825,0.0,0.2262,0.0,0.444,0.35600000000000004,0.0,0.0,0.051,0.0,0.521675,0.8807,-0.24695999999999999,0.0,-0.7906,-0.2987,0.0,0.0,0.43566666666666665,0.0,0.5,1.0,0.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3335.469970703125,11085.25,309.1499938964844
2016-01-07,1471.0,0.0,6813.5,1726.5,1393.0,1588.5,0.0,0.0,1114.5,2026.0,4691.0,0.0,9171.0,2263.5,3886.0,4893.0,0.0,0.0,3581.5,5845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,22.0,0.0,26.0,16.0,27.0,26.0,0.0,0.0,21.5,34.0,5.0,0.0,5.3896296296296295,4.907407407407408,5.014109347442681,4.730769230769232,0.0,0.0,4.789473684210526,4.441176470588236,0.13636363636363635,0.0,0.1925925925925926,0.24814814814814815,0.18342151675485008,0.17307692307692307,0.0,0.0,0.18859649122807015,0.2647058823529412,0.2272727272727273,0.0,0.05703703703703704,0.037037037037037035,0.015873015873015872,0.019230769230769232,0.0,0.0,0.12061403508771928,0.05882352941176471,110.0,0.0,140.0,77.5,134.33333333333334,123.0,0.0,0.0,103.5,151.0,0.672,0.0,0.061,0.386,0.35533333333333333,0.0855,0.0,0.0,0.237,0.16899999999999998,0.328,0.0,0.532,0.533,0.5646666666666667,0.5960000000000001,0.0,0.0,0.679,0.534,0.0,0.0,0.40700000000000003,0.081,0.07966666666666668,0.3185,0.0,0.0,0.084,0.298,0.9547,0.0,-0.82565,0.024399999999999977,0.6927,-0.49970000000000003,0.0,0.0,0.02210000000000001,-0.4389,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,3351.60009765625,11117.5302734375,310.0
2016-01-08,2246.3333333333335,0.0,1014.0,1548.0,1425.0,1688.6666666666667,0.0,1968.0,0.0,0.0,6781.0,0.0,3374.0,4403.5,5636.0,5322.0,0.0,5390.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,4.0,2.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,19.666666666666668,0.0,28.0,24.0,13.0,18.666666666666668,0.0,28.0,0.0,0.0,5.276031215161651,0.0,4.5,5.007142857142857,4.538461538461538,4.637820512820513,0.0,4.642857142857143,0.0,0.0,0.17257525083612038,0.0,0.5,0.4107142857142857,0.2307692307692308,0.11858974358974361,0.0,0.14285714285714285,0.0,0.0,0.012820512820512822,0.0,0.03571428571428571,0.017857142857142856,0.07692307692307693,0.012820512820512822,0.0,0.03571428571428571,0.0,0.0,103.33333333333333,0.0,126.0,121.0,59.0,88.66666666666667,0.0,130.0,0.0,0.0,0.45566666666666666,0.0,0.173,0.192,0.0,0.18600000000000003,0.0,0.125,0.0,0.0,0.5443333333333333,0.0,0.414,0.7525,1.0,0.4343333333333333,0.0,0.698,0.0,0.0,0.0,0.0,0.413,0.0555,0.0,0.3793333333333333,0.0,0.177,0.0,0.0,0.7829333333333334,0.0,-0.5411,0.375,0.0,-0.2467,0.0,-0.2401,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,3298.4599609375,10913.5595703125,304.3599853515625
2016-01-11,1764.0,1048.0,1315.5,2765.5,1217.0,2159.0,2558.0,1830.0,1327.4285714285713,1825.0,5490.363636363636,3648.0,3841.8333333333335,7075.0,3253.0,6079.0,6235.0,5152.5,4658.857142857143,5325.333333333333,0.6363636363636364,0.0,0.0,1.5,1.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.2727272727272727,2.0,1.3333333333333333,0.5,0.0,0.2,0.0,0.5,0.5714285714285714,0.3333333333333333,18.90909090909091,25.0,25.666666666666668,21.5,28.0,23.2,4.0,28.5,20.285714285714285,27.0,5.167438292932364,5.52,4.913666840690876,5.127840909090908,5.142857142857143,4.746478574565531,8.75,4.593596059113301,5.0335234799156705,4.799477533960293,0.2221322631401683,0.2,0.19421394603241535,0.32102272727272724,0.32142857142857145,0.20691837630968068,0.5,0.17549261083743845,0.21000056415409316,0.14622082897944966,0.029793475445649354,0.04,0.05695067752310004,0.18465909090909094,0.0,0.024695652173913042,0.0,0.06958128078817734,0.014132104454685102,0.037756879136189476,98.18181818181819,138.0,125.83333333333333,103.0,144.0,110.0,35.0,131.0,102.14285714285714,130.0,0.41318181818181815,0.16699999999999998,0.26316666666666666,0.365,0.121,0.2278,0.0,0.3375,0.31714285714285717,0.2436666666666667,0.5508181818181818,0.628,0.5238333333333334,0.5885,0.728,0.6128,1.0,0.6265000000000001,0.6828571428571429,0.6993333333333333,0.036000000000000004,0.205,0.213,0.046,0.15,0.1594,0.0,0.036000000000000004,0.0,0.057333333333333326,0.4824818181818182,-0.1712,0.003783333333333342,0.64615,-0.1531,0.06303999999999998,0.0,0.70705,0.5379571428571429,0.5473666666666667,0.36363636363636365,0.0,0.3333333333333333,0.5,0.0,0.4,1.0,0.5,0.42857142857142855,0.6666666666666666,11.0,1.0,6.0,2.0,1.0,5.0,1.0,2.0,7.0,3.0,3246.590087890625,10672.26953125,296.8800048828125
2016-01-12,989.0,0.0,814.0,0.0,0.0,1094.3333333333333,0.0,0.0,1717.0,0.0,3675.0,0.0,2974.0,0.0,0.0,3299.3333333333335,0.0,0.0,5428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.4,0.0,16.333333333333332,0.0,26.0,0.0,0.0,25.0,0.0,0.0,17.0,0.0,5.095238095238096,0.0,5.0769230769230775,0.0,0.0,5.1234719941616484,0.0,0.0,4.864206349206349,0.0,0.2492063492063492,0.0,0.2692307692307692,0.0,0.0,0.3709177157453019,0.0,0.0,0.2918253968253969,0.0,0.038888888888888896,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.11492063492063494,0.0,81.0,0.0,132.0,0.0,0.0,127.33333333333333,0.0,0.0,84.6,0.0,0.664,0.0,0.096,0.0,0.0,0.18200000000000002,0.0,0.0,0.5111999999999999,0.0,0.336,0.0,0.71,0.0,0.0,0.4896666666666667,0.0,0.0,0.4888,0.0,0.0,0.0,0.193,0.0,0.0,0.328,0.0,0.0,0.0,0.0,0.8525,0.0,-0.4675,0.0,0.0,-0.19876666666666665,0.0,0.0,0.65952,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.8,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3236.919921875,10632.990234375,295.9700012207031
2016-01-13,2414.0,0.0,2860.8,1941.5,2158.0,6659.0,0.0,4102.0,0.0,0.0,6661.5,0.0,7657.2,4223.0,5717.0,16976.0,0.0,9991.0,0.0,0.0,2.25,0.0,1.2,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,19.75,0.0,14.6,20.25,27.0,15.0,0.0,26.0,0.0,0.0,5.077433166248955,0.0,5.148460299764648,5.074975845410628,5.222222222222221,4.8,0.0,5.115384615384615,0.0,0.0,0.2694235588972431,0.0,0.287238944630249,0.46093397745571657,0.07407407407407407,0.2,0.0,0.2307692307692308,0.0,0.0,0.09549916457811194,0.0,0.09610305958132045,0.24875201288244767,0.0,0.06666666666666668,0.0,0.07692307692307693,0.0,0.0,99.25,0.0,75.2,105.75,141.0,72.0,0.0,133.0,0.0,0.0,0.342,0.0,0.3194,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.56225,0.0,0.6072000000000001,0.9525,0.606,0.471,0.0,0.722,0.0,0.0,0.09575,0.0,0.07339999999999999,0.0475,0.394,0.529,0.0,0.211,0.0,0.0,0.32745,0.0,0.08546000000000001,-0.127325,-0.7777,-0.6955,0.0,-0.4199,0.0,0.0,0.5,0.0,0.4,0.25,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,3315.570068359375,10963.6396484375,305.0899963378906
2016-01-14,3281.0,1472.0,2967.25,1309.0,0.0,0.0,1091.0,0.0,2049.3333333333335,0.0,8686.0,5716.0,7399.25,4036.6666666666665,0.0,0.0,3292.0,0.0,6184.333333333333,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.75,2.3333333333333335,0.0,0.0,2.0,0.0,1.0,0.0,20.0,22.0,26.0,22.0,0.0,0.0,20.0,0.0,20.333333333333332,0.0,4.2,4.7727272727272725,5.127022546419099,5.088888888888889,0.0,0.0,5.85,0.0,5.4468802013559054,0.0,0.15,0.3636363636363637,0.18514588859416448,0.4871794871794872,0.0,0.0,0.25,0.0,0.43388949782811675,0.0,0.05,0.045454545454545456,0.034482758620689655,0.026153846153846156,0.0,0.0,0.05,0.0,0.06958145577071408,0.0,84.0,105.0,133.0,112.0,0.0,0.0,117.0,0.0,110.33333333333333,0.0,0.35700000000000004,0.454,0.0495,0.12333333333333334,0.0,0.0,0.0,0.0,0.32133333333333336,0.0,0.447,0.546,0.57675,0.7716666666666666,0.0,0.0,1.0,0.0,0.6786666666666666,0.0,0.196,0.0,0.37375,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.3653,0.6114,-0.6658250000000001,0.026500000000000006,0.0,0.0,0.0,0.0,0.6353,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,3281.06005859375,10778.7998046875,300.1099853515625
2016-01-15,3364.0,0.0,0.0,3148.5,0.0,0.0,0.0,0.0,2867.0,919.0,8453.0,0.0,0.0,8198.5,0.0,0.0,0.0,0.0,8984.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,27.0,23.0,5.227272727272728,0.0,0.0,6.204761904761905,0.0,0.0,0.0,0.0,5.0,6.217391304347826,0.13636363636363635,0.0,0.0,0.18095238095238095,0.0,0.0,0.0,0.0,0.07407407407407407,0.2608695652173913,0.2727272727272727,0.0,0.0,0.03333333333333334,0.0,0.0,0.0,0.0,0.037037037037037035,0.08695652173913042,115.0,0.0,0.0,112.5,0.0,0.0,0.0,0.0,135.0,143.0,0.348,0.0,0.0,0.06849999999999999,0.0,0.0,0.0,0.0,0.385,0.6409999999999999,0.652,0.0,0.0,0.6785,0.0,0.0,0.0,0.0,0.615,0.359,0.0,0.0,0.0,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.7861,0.0,0.0,-0.36755,0.0,0.0,0.0,0.0,0.7579,0.7983,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3319.469970703125,10793.2802734375,297.3699951171875
